Date,Category,Amount,Payment_Mode,Location
2026-04-01,Food,80,UPI,Canteen
2026-04-01,Transport,50,Cash,Bus
2026-04-02,Food,120,UPI,Restaurant
2026-04-02,Online,90,Card,Amazon
2026-04-03,Food,60,UPI,Canteen
2026-04-03,Transport,40,Cash,Auto
2026-04-04,Food,75,UPI,Canteen
2026-04-04,Online,200,Card,Flipkart
2026-04-05,Food,50,UPI,Canteen
2026-04-05,Transport,30,Cash,Bus
2026-04-06,Food,90,UPI,Cafe
2026-04-06,Online,150,Card,Myntra
2026-04-07,Food,70,UPI,Canteen
2026-04-07,Transport,60,Cash,Auto
2026-04-08,Food,85,UPI,Canteen
2026-04-08,Online,250,Card,Amazon
2026-04-09,Food,95,UPI,Cafe
2026-04-09,Transport,45,Cash,Bus
2026-04-10,Food,65,UPI,Canteen
2026-04-10,Online,180,Card,Flipkart
2026-04-11,Food,55,UPI,Canteen
2026-04-11,Transport,35,Cash,Auto
2026-04-12,Food,100,UPI,Cafe
2026-04-12,Online,300,Card,Myntra
2026-04-13,Food,70,UPI,Canteen
2026-04-13,Transport,50,Cash,Bus
2026-04-14,Food,85,UPI,Cafe
2026-04-14,Online,220,Card,Amazon
2026-04-15,Food,60,UPI,Canteen
2026-04-15,Transport,40,Cash,Auto
2026-04-16,Food,75,UPI,Cafe
2026-04-16,Online,170,Card,Flipkart
2026-04-17,Food,90,UPI,Canteen
2026-04-17,Transport,55,Cash,Bus
2026-04-18,Food,65,UPI,Cafe
2026-04-18,Online,210,Card,Myntra
2026-04-19,Food,50,UPI,Canteen
2026-04-19,Transport,30,Cash,Auto
2026-04-20,Food,85,UPI,Cafe
2026-04-20,Online,260,Card,Amazon
